"","Geneid","E1_cpm","E2_cpm","E3_cpm","CPM_mean_E13","L1_CPM","L2_CPM","L3_CPM","CPM_mean_UN13"
"1","txnl4b",70.2843665687769,50.0863772618978,27.4550825792639,49.2752754699795,4.3937826607045,4.97753227211765,1.59563132470686,3.65564875250967
"2","abcb6a",22.7334878389575,24.173633470152,26.1204605094386,24.3425272728494,4.31776565965425,9.74621703631428,5.84446357305418,6.6361487563409
"3","ugt5b6",1333.41378462085,605.036480882438,448.147025017777,795.532430173688,56.359004578656,31.5185697370807,23.2850850291524,37.0542197816297
"4","ugt5b4",213.789508552196,131.563695828561,104.577172185599,149.976792188785,14.230382596607,22.2596635525821,12.746496745042,16.4121809647437
"5","ugt5b3",34.0055088924406,42.1734252986465,6.76844049697131,27.6491248960195,1.94603522688642,4.97753227211765,0.575169430998983,2.49957897666768
"6","ugt5b2",734.954717260296,244.69282224823,210.107645849645,396.585061786057,29.7226474106481,10.4075674780642,10.6870191050134,16.9390779979086
"7","ugt5b1",36.9419177383059,18.1737028606539,12.297589071962,22.4710698903073,1.77879782457587,0.870197949670918,0.723600251901946,1.12419867538291
"8","cyp4v2a",4786.15697302852,2882.22753597719,2510.04279275007,3392.80910058526,287.84597617688,186.692268122399,179.156000829877,217.898081709719
"9","clockb",5.49392622774806,9.21728470444646,10.867636854292,8.52628259549551,0.85139041176281,3.42857992170342,2.54187780796325,2.27394938047649
"10","dnajb14",24.6279451588706,26.9562099847019,14.2995221767,21.9612257734242,2.59978143591858,5.60407479588071,3.11704723896223,3.77363449025384
"11","nr3c2",4.92558903177412,11.4781281225182,2.85990443533999,6.4212071965441,0.364881605041204,0.939813785644592,0.278307789193056,0.527667726626284
"12","txna",2172.46893161037,1932.93416693529,1938.63388656914,2014.67899503827,120.137268459816,128.35419757646,116.314102030085,121.60185602212
"13","dnaja1",36.9419177383059,14.4346156692275,17.9220677947973,23.0995337341102,2.37173043276783,2.38434238209832,1.16889271461084,1.97498850982566
